게이트.라인,호로스코프 도수,괘/효 기호
25.1,양 00° 00' ~ 00° 56',䷘ .1
25.2,양 00° 56' ~ 01° 52',䷘ .2
25.3,양 01° 52' ~ 02° 48',䷘ .3
25.4,양 02° 48' ~ 03° 45',䷘ .4
25.5,양 03° 45' ~ 04° 41',䷘ .5
25.6,양 04° 41' ~ 05° 37',䷘ .6
17.1,양 05° 37' ~ 06° 33',䷐ .1
17.2,양 06° 33' ~ 07° 30',䷐ .2
17.3,양 07° 30' ~ 08° 26',䷐ .3
17.4,양 08° 26' ~ 09° 22',䷐ .4
17.5,양 09° 22' ~ 10° 18',䷐ .5
17.6,양 10° 18' ~ 11° 15',䷐ .6
21.1,양 11° 15' ~ 12° 11',䷔ .1
21.2,양 12° 11' ~ 13° 07',䷔ .2
21.3,양 13° 07' ~ 14° 03',䷔ .3
21.4,양 14° 03' ~ 15° 00',䷔ .4
21.5,양 15° 00' ~ 15° 56',䷔ .5
21.6,양 15° 56' ~ 16° 52',䷔ .6
51.1,양 16° 52' ~ 17° 48',䷲ .1
51.2,양 17° 48' ~ 18° 45',䷲ .2
51.3,양 18° 45' ~ 19° 41',䷲ .3
51.4,양 19° 41' ~ 20° 37',䷲ .4
51.5,양 20° 37' ~ 21° 33',䷲ .5
51.6,양 21° 33' ~ 22° 30',䷲ .6
42.1,양 22° 30' ~ 23° 26',䷩ .1
42.2,양 23° 26' ~ 24° 22',䷩ .2
42.3,양 24° 22' ~ 25° 18',䷩ .3
42.4,양 25° 18' ~ 26° 15',䷩ .4
42.5,양 26° 15' ~ 27° 11',䷩ .5
42.6,양 27° 11' ~ 28° 07',䷩ .6
3.1,양 28° 07' ~ 29° 03',䷂ .1
3.2,양 29° 03' ~ 30° 00',䷂ .2
3.3,황소 00° 00' ~ 00° 56',䷂ .3
3.4,황소 00° 56' ~ 01° 52',䷂ .4
3.5,황소 01° 52' ~ 02° 48',䷂ .5
3.6,황소 02° 48' ~ 03° 45',䷂ .6
27.1,황소 03° 45' ~ 04° 41',䷚ .1
27.2,황소 04° 41' ~ 05° 37',䷚ .2
27.3,황소 05° 37' ~ 06° 33',䷚ .3
27.4,황소 06° 33' ~ 07° 30',䷚ .4
27.5,황소 07° 30' ~ 08° 26',䷚ .5
27.6,황소 08° 26' ~ 09° 22',䷚ .6
24.1,황소 09° 22' ~ 10° 18',䷗ .1
24.2,황소 10° 18' ~ 11° 15',䷗ .2
24.3,황소 11° 15' ~ 12° 11',䷗ .3
24.4,황소 12° 11' ~ 13° 07',䷗ .4
24.5,황소 13° 07' ~ 14° 03',䷗ .5
24.6,황소 14° 03' ~ 15° 00',䷗ .6
2.1,"황소 15° 00' 00"" ~ 15° 56' 15""",䷁ .1
2.2,"황소 15° 56' 15"" ~ 16° 52' 30""",䷁ .2
2.3,"황소 16° 52' 30"" ~ 17° 48' 45""",䷁ .3
2.4,"황소 17° 48' 45"" ~ 18° 45' 00""",䷁ .4
2.5,"황소 18° 45' 00"" ~ 19° 41' 15""",䷁ .5
2.6,"황소 19° 41' 15"" ~ 20° 37' 30""",䷁ .6
23.1,황소 20° 37' ~ 21° 33',䷖ .1
23.2,황소 21° 33' ~ 22° 30',䷖ .2
23.3,황소 22° 30' ~ 23° 26',䷖ .3
23.4,황소 23° 26' ~ 24° 22',䷖ .4
23.5,황소 24° 22' ~ 25° 18',䷖ .5
23.6,황소 25° 18' ~ 26° 15',䷖ .6
8.1,황소 26° 15' ~ 27° 11',䷇ .1
8.2,황소 27° 11' ~ 28° 07',䷇ .2
8.3,황소 28° 07' ~ 29° 03',䷇ .3
8.4,황소 29° 03' ~ 30° 00',䷇ .4
8.5,쌍둥 00° 00' ~ 00° 56',䷇ .5
8.6,쌍둥 00° 56' ~ 01° 52',䷇ .6
20.1,쌍둥 01° 52' ~ 02° 48',䷓ .1
20.2,쌍둥 02° 48' ~ 03° 45',䷓ .2
20.3,쌍둥 03° 45' ~ 04° 41',䷓ .3
20.4,쌍둥 04° 41' ~ 05° 37',䷓ .4
20.5,쌍둥 05° 37' ~ 06° 33',䷓ .5
20.6,쌍둥 06° 33' ~ 07° 30',䷓ .6
16.1,쌍둥 07° 30' ~ 08° 26',䷏ .1
16.2,쌍둥 08° 26' ~ 09° 22',䷏ .2
16.3,쌍둥 09° 22' ~ 10° 18',䷏ .3
16.4,쌍둥 10° 18' ~ 11° 15',䷏ .4
16.5,쌍둥 11° 15' ~ 12° 11',䷏ .5
16.6,쌍둥 12° 11' ~ 13° 07',䷏ .6
35.1,쌍둥 13° 07' ~ 14° 03',䷢ .1
35.2,쌍둥 14° 03' ~ 15° 00',䷢ .2
35.3,쌍둥 15° 00' ~ 15° 56',䷢ .3
35.4,쌍둥 15° 56' ~ 16° 52',䷢ .4
35.5,쌍둥 16° 52' ~ 17° 48',䷢ .5
35.6,쌍둥 17° 48' ~ 18° 45',䷢ .6
45.1,쌍둥 18° 45' ~ 19° 41',䷬ .1
45.2,쌍둥 19° 41' ~ 20° 37',䷬ .2
45.3,쌍둥 20° 37' ~ 21° 33',䷬ .3
45.4,쌍둥 21° 33' ~ 22° 30',䷬ .4
45.5,쌍둥 22° 30' ~ 23° 26',䷬ .5
45.6,쌍둥 23° 26' ~ 24° 22',䷬ .6
12.1,쌍둥 24° 22' ~ 25° 18',䷋ .1
12.2,쌍둥 25° 18' ~ 26° 15',䷋ .2
12.3,쌍둥 26° 15' ~ 27° 11',䷋ .3
12.4,쌍둥 27° 11' ~ 28° 07',䷋ .4
12.5,쌍둥 28° 07' ~ 29° 03',䷋ .5
12.6,쌍둥 29° 03' ~ 30° 00',䷋ .6
15.1,게 00° 00' ~ 00° 56',䷎ .1
15.2,게 00° 56' ~ 01° 52',䷎ .2
15.3,게 01° 52' ~ 02° 48',䷎ .3
15.4,게 02° 48' ~ 03° 45',䷎ .4
15.5,게 03° 45' ~ 04° 41',䷎ .5
15.6,게 04° 41' ~ 05° 37',䷎ .6
52.1,게 05° 37' ~ 06° 33',䷳ .1
52.2,게 06° 33' ~ 07° 30',䷳ .2
52.3,게 07° 30' ~ 08° 26',䷳ .3
52.4,게 08° 26' ~ 09° 22',䷳ .4
52.5,게 09° 22' ~ 10° 18',䷳ .5
52.6,게 10° 18' ~ 11° 15',䷳ .6
39.1,게 11° 15' ~ 12° 11',䷦ .1
39.2,게 12° 11' ~ 13° 07',䷦ .2
39.3,게 13° 07' ~ 14° 03',䷦ .3
39.4,게 14° 03' ~ 15° 00',䷦ .4
39.5,게 15° 00' ~ 15° 56',䷦ .5
39.6,게 15° 56' ~ 16° 52',䷦ .6
53.1,게 16° 52' ~ 17° 48',䷴ .1
53.2,게 17° 48' ~ 18° 45',䷴ .2
53.3,게 18° 45' ~ 19° 41',䷴ .3
53.4,게 19° 41' ~ 20° 37',䷴ .4
53.5,게 20° 37' ~ 21° 33',䷴ .5
53.6,게 21° 33' ~ 22° 30',䷴ .6
62.1,게 22° 30' ~ 23° 26',䷽ .1
62.2,게 23° 26' ~ 24° 22',䷽ .2
62.3,게 24° 22' ~ 25° 18',䷽ .3
62.4,게 25° 18' ~ 26° 15',䷽ .4
62.5,게 26° 15' ~ 27° 11',䷽ .5
62.6,게 27° 11' ~ 28° 07',䷽ .6
56.1,게 28° 07' ~ 29° 03',䷷ .1
56.2,게 29° 03' ~ 30° 00',䷷ .2
56.3,사자 00° 00' ~ 00° 56',䷷ .3
56.4,사자 00° 56' ~ 01° 52',䷷ .4
56.5,사자 01° 52' ~ 02° 48',䷷ .5
56.6,사자 02° 48' ~ 03° 45',䷷ .6
31.1,사자 03° 45' ~ 04° 41',䷞ .1
31.2,사자 04° 41' ~ 05° 37',䷞ .2
31.3,사자 05° 37' ~ 06° 33',䷞ .3
31.4,사자 06° 33' ~ 07° 30',䷞ .4
31.5,사자 07° 30' ~ 08° 26',䷞ .5
31.6,사자 08° 26' ~ 09° 22',䷞ .6
33.1,사자 09° 22' ~ 10° 18',䷠ .1
33.2,사자 10° 18' ~ 11° 15',䷠ .2
33.3,사자 11° 15' ~ 12° 11',䷠ .3
33.4,사자 12° 11' ~ 13° 07',䷠ .4
33.5,사자 13° 07' ~ 14° 03',䷠ .5
33.6,사자 14° 03' ~ 15° 00',䷠ .6
7.1,사자 15° 00' ~ 15° 56',䷆ .1
7.2,사자 15° 56' ~ 16° 52',䷆ .2
7.3,사자 16° 52' ~ 17° 48',䷆ .3
7.4,사자 17° 48' ~ 18° 45',䷆ .4
7.5,사자 18° 45' ~ 19° 41',䷆ .5
7.6,사자 19° 41' ~ 20° 37',䷆ .6
4.1,사자 20° 37' ~ 21° 33',䷃ .1
4.2,사자 21° 33' ~ 22° 30',䷃ .2
4.3,사자 22° 30' ~ 23° 26',䷃ .3
4.4,사자 23° 26' ~ 24° 22',䷃ .4
4.5,사자 24° 22' ~ 25° 18',䷃ .5
4.6,사자 25° 18' ~ 26° 15',䷃ .6
29.1,사자 26° 15' ~ 27° 11',䷜ .1
29.2,사자 27° 11' ~ 28° 07',䷜ .2
29.3,사자 28° 07' ~ 29° 03',䷜ .3
29.4,사자 29° 03' ~ 30° 00',䷜ .4
29.5,처녀 00° 00' ~ 00° 56',䷜ .5
29.6,처녀 00° 56' ~ 01° 52',䷜ .6
59.1,처녀 01° 52' ~ 02° 48',䷺ .1
59.2,처녀 02° 48' ~ 03° 45',䷺ .2
59.3,처녀 03° 45' ~ 4° 41',䷺ .3
59.4,처녀 4° 41' ~ 05° 37',䷺ .4
59.5,처녀 05° 37' ~ 06° 33',䷺ .5
59.6,처녀 06° 33' ~ 07° 30',䷺ .6
40.1,처녀 07° 30' ~ 08° 26',䷧ .1
40.2,처녀 08° 26' ~ 09° 22',䷧ .2
40.3,처녀 09° 22' ~ 10° 18',䷧ .3
40.4,처녀 10° 18' ~ 11° 15',䷧ .4
40.5,처녀 11° 15' ~ 12° 11',䷧ .5
40.6,처녀 12° 11' ~ 13° 07',䷧ .6
64.1,처녀 13° 07' ~ 14° 03',䷿ .1
64.2,처녀 14° 03' ~ 15° 00',䷿ .2
64.3,처녀 15° 00' ~ 15° 56',䷿ .3
64.4,처녀 15° 56' ~ 16° 52',䷿ .4
64.5,처녀 16° 52' ~ 17° 48',䷿ .5
64.6,처녀 17° 48' ~ 18° 45',䷿ .6
47.1,처녀 18° 45' ~ 19° 41',䷮ .1
47.2,처녀 19° 41' ~ 20° 37',䷮ .2
47.3,처녀 20° 37' ~ 21° 33',䷮ .3
47.4,처녀 21° 33' ~ 22° 30',䷮ .4
47.5,처녀 22° 30' ~ 23° 26',䷮ .5
47.6,처녀 23° 26' ~ 24° 22',䷮ .6
6.1,처녀 24° 22' ~ 25° 18',䷅ .1
6.2,처녀 25° 18' ~ 26° 15',䷅ .2
6.3,처녀 26° 15' ~ 27° 11',䷅ .3
6.4,처녀 27° 11' ~ 28° 07',䷅ .4
6.5,처녀 28° 07' ~ 29° 03',䷅ .5
6.6,처녀 29° 03' ~ 30° 00',䷅ .6
46.1,처녀 30° 00' ~ 천칭 00° 56',䷭.1
46.2,천칭 00° 56' ~ 01° 52',䷭ .2
46.3,천칭 01° 52' ~ 02° 48',䷭ .3
46.4,천칭 02° 48' ~ 03° 45',䷭ .4
46.5,천칭 03° 45' ~ 04° 41',䷭ .5
46.6,천칭 04° 41' ~ 05° 37',䷭ .6
18.1,천칭 05° 37' ~ 06° 33',䷑ .1
18.2,천칭 06° 33' ~ 07° 30',䷑ .2
18.3,천칭 07° 30' ~ 08° 26',䷑ .3
18.4,천칭 08° 26' ~ 09° 22',䷑ .4
18.5,천칭 09° 22' ~ 10° 18',䷑ .5
18.6,천칭 10° 18' ~ 11° 15',䷑ .6
48.1,천칭 11° 15' ~ 12° 11',䷯ .1
48.2,천칭 12° 11' ~ 13° 07',䷯ .2
48.3,천칭 13° 07' ~ 14° 03',䷯ .3
48.4,천칭 14° 03' ~ 15° 00',䷯ .4
48.5,천칭 15° 00' ~ 15° 56',䷯ .5
48.6,천칭 15° 56' ~ 16° 52',䷯ .6
57.1,천칭 16° 52' ~ 17° 48',䷸ .1
57.2,천칭 17° 48' ~ 18° 45',䷸ .2
57.3,천칭 18° 45' ~ 19° 41',䷸ .3
57.4,천칭 19° 41' ~ 20° 37',䷸ .4
57.5,천칭 20° 37' ~ 21° 33',䷸ .5
57.6,천칭 21° 33' ~ 22° 30',䷸ .6
32.1,천칭 22° 30' ~ 23° 26',䷟ .1
32.2,천칭 23° 26' ~ 24° 22',䷟ .2
32.3,천칭 24° 22' ~ 25° 18',䷟ .3
32.4,천칭 25° 18' ~ 26° 15',䷟ .4
32.5,천칭 26° 15' ~ 27° 11',䷟ .5
32.6,천칭 27° 11' ~ 28° 07',䷟ .6
50.1,천칭 28° 07' ~ 29° 03',䷱ .1
50.2,천칭 29° 03' ~ 30° 00',䷱ .2
50.3,전갈 00° 00' ~ 00° 56',䷱ .3
50.4,전갈 00° 56' ~ 01° 52',䷱ .4
50.5,전갈 01° 52' ~ 02° 48',䷱ .5
50.6,전갈 02° 48' ~ 03° 45',䷱ .6
28.1,전갈 03° 45' ~ 04° 41',䷛ .1
28.2,전갈 04° 41' ~ 05° 37',䷛ .2
28.3,전갈 05° 37' ~ 06° 33',䷛ .3
28.4,전갈 06° 33' ~ 07° 30',䷛ .4
28.5,전갈 07° 30' ~ 08° 26',䷛ .5
28.6,전갈 08° 26' ~ 09° 22',䷛ .6
44.1,전갈 09° 22' ~ 10° 18',䷫ .1
44.2,전갈 10° 18' ~ 11° 15',䷫ .2
44.3,전갈 11° 15' ~ 12° 11',䷫ .3
44.4,전갈 12° 11' ~ 13° 07',䷫ .4
44.5,전갈 13° 07' ~ 14° 03',䷫ .5
44.6,전갈 14° 03' ~ 15° 00',䷫ .6
1.1,전갈 15° 00' ~ 15° 56',䷀ .1
1.2,전갈 15° 56' ~ 16° 52',䷀ .2
1.3,전갈 16° 52' ~ 17° 48',䷀ .3
1.4,전갈 17° 48' ~ 18° 45',䷀ .4
1.5,전갈 18° 45' ~ 19° 41',䷀ .5
1.6,전갈 19° 41' ~ 20° 37',䷀ .6
43.1,전갈 20° 37' ~ 21° 33',䷪ .1
43.2,전갈 21° 33' ~ 22° 30',䷪ .2
43.3,전갈 22° 30' ~ 23° 26',䷪ .3
43.4,전갈 23° 26' ~ 24° 22',䷪ .4
43.5,전갈 24° 22' ~ 25° 18',䷪ .5
43.6,전갈 25° 18' ~ 26° 15',䷪ .6
14.1,전갈 26° 15' ~ 27° 11',䷍ .1
14.2,전갈 27° 11' ~ 28° 07',䷍ .2
14.3,전갈 28° 07' ~ 29° 03',䷍ .3
14.4,전갈 29° 03' ~ 30° 00',䷍ .4
14.5,사수 00° 00' ~ 00° 56',䷍ .5
14.6,사수 00° 56' ~ 01° 52',䷍ .6
34.1,사수 01° 52' ~ 02° 48',䷡ .1
34.2,사수 02° 48' ~ 03° 45',䷡ .2
34.3,사수 03° 45' ~ 04° 41',䷡ .3
34.4,사수 04° 41' ~ 05° 37',䷡ .4
34.5,사수 05° 37' ~ 06° 33',䷡ .5
34.6,사수 06° 33' ~ 07° 30',䷡ .6
9.1,사수 07° 30' ~ 08° 26',䷈ .1
9.2,사수 08° 26' ~ 09° 22',䷈ .2
9.3,사수 09° 22' ~ 10° 18',䷈ .3
9.4,사수 10° 18' ~ 11° 15',䷈ .4
9.5,사수 11° 15' ~ 12° 11',䷈ .5
9.6,사수 12° 11' ~ 13° 07',䷈ .6
5.1,사수 13° 07' ~ 14° 03',䷄ .1
5.2,사수 14° 03' ~ 15° 00',䷄ .2
5.3,사수 15° 00' ~ 15° 56',䷄ .3
5.4,사수 15° 56' ~ 16° 52',䷄ .4
5.5,사수 16° 52' ~ 17° 48',䷄ .5
5.6,사수 17° 48' ~ 18° 45',䷄ .6
26.1,사수 18° 45' ~ 19° 41',䷙ .1
26.2,사수 19° 41' ~ 20° 37',䷙ .2
26.3,사수 20° 37' ~ 21° 33',䷙ .3
26.4,사수 21° 33' ~ 22° 30',䷙ .4
26.5,사수 22° 30' ~ 23° 26',䷙ .5
26.6,사수 23° 26' ~ 24° 22',䷙ .6
11.1,사수 24° 22' ~ 25° 18',䷊ .1
11.2,사수 25° 18' ~ 26° 15',䷊ .2
11.3,사수 26° 15' ~ 27° 11',䷊ .3
11.4,사수 27° 11' ~ 28° 07',䷊ .4
11.5,사수 28° 07' ~ 29° 03',䷊ .5
11.6,사수 29° 03' ~ 30° 00',䷊ .6
10.1,염소 00° 00' ~ 00° 56',䷉ .1
10.2,염소 00° 56' ~ 01° 52',䷉ .2
10.3,염소 01° 52' ~ 02° 48',䷉ .3
10.4,염소 02° 48' ~ 03° 45',䷉ .4
10.5,염소 03° 45' ~ 04° 41',䷉ .5
10.6,염소 04° 41' ~ 05° 37',䷉ .6
58.1,염소 05° 37' ~ 06° 33',䷹ .1
58.2,염소 06° 33' ~ 07° 30',䷹ .2
58.3,염소 07° 30' ~ 08° 26',䷹ .3
58.4,염소 08° 26' ~ 09° 22',䷹ .4
58.5,염소 09° 22' ~ 10° 18',䷹ .5
58.6,염소 10° 18' ~ 11° 15',䷹ .6
38.1,염소 11° 15' ~ 12° 11',䷥ .1
38.2,염소 12° 11' ~ 13° 07',䷥ .2
38.3,염소 13° 07' ~ 14° 03',䷥ .3
38.4,염소 14° 03' ~ 15° 00',䷥ .4
38.5,염소 15° 00' ~ 15° 56',䷥ .5
38.6,염소 15° 56' ~ 16° 52',䷥ .6
54.1,염소 16° 52' ~ 17° 48',䷵ .1
54.2,염소 17° 48' ~ 18° 45',䷵ .2
54.3,염소 18° 45' ~ 19° 41',䷵ .3
54.4,염소 19° 41' ~ 20° 37',䷵ .4
54.5,염소 20° 37' ~ 21° 33',䷵ .5
54.6,염소 21° 33' ~ 22° 30',䷵ .6
61.1,염소 22° 30' ~ 23° 26',䷼ .1
61.2,염소 23° 26' ~ 24° 22',䷼ .2
61.3,염소 24° 22' ~ 25° 18',䷼ .3
61.4,염소 25° 18' ~ 26° 15',䷼ .4
61.5,염소 26° 15' ~ 27° 11',䷼ .5
61.6,염소 27° 11' ~ 28° 07',䷼ .6
60.1,염소 28° 07' ~ 29° 03',䷻ .1
60.2,염소 29° 03' ~ 30° 00',䷻ .2
60.3,물병 00° 00' ~ 00° 56',䷻ .3
60.4,물병 00° 56' ~ 01° 52',䷻ .4
60.5,물병 01° 52' ~ 02° 48',䷻ .5
60.6,물병 02° 48' ~ 03° 45',䷻ .6
41.1,물병 03° 45' ~ 04° 41',䷨ .1
41.2,물병 04° 41' ~ 05° 37',䷨ .2
41.3,물병 05° 37' ~ 06° 33',䷨ .3
41.4,물병 06° 33' ~ 07° 30',䷨ .4
41.5,물병 07° 30' ~ 08° 26',䷨ .5
41.6,물병 08° 26' ~ 09° 22',䷨ .6
19.1,물병 09° 22' ~ 10° 18',䷒ .1
19.2,물병 10° 18' ~ 11° 15',䷒ .2
19.3,물병 11° 15' ~ 12° 11',䷒ .3
19.4,물병 12° 11' ~ 13° 07',䷒ .4
19.5,물병 13° 07' ~ 14° 03',䷒ .5
19.6,물병 14° 03' ~ 15° 00',䷒ .6
13.1,물병 15° 00' ~ 15° 56',䷌ .1
13.2,물병 15° 56' ~ 16° 52',䷌ .2
13.3,물병 16° 52' ~ 17° 48',䷌ .3
13.4,물병 17° 48' ~ 18° 45',䷌ .4
13.5,물병 18° 45' ~ 19° 41',䷌ .5
13.6,물병 19° 41' ~ 20° 37',䷌ .6
49.1,물병 20° 37' ~ 21° 33',䷰ .1
49.2,물병 21° 33' ~ 22° 30',䷰ .2
49.3,물병 22° 30' ~ 23° 26',䷰ .3
49.4,물병 23° 26' ~ 24° 22',䷰ .4
49.5,물병 24° 22' ~ 25° 18',䷰ .5
49.6,물병 25° 18' ~ 26° 15',䷰ .6
30.1,물병 26° 15' ~ 27° 11',䷝ .1
30.2,물병 27° 11' ~ 28° 08',䷝ .2
30.3,물병 28° 08' ~ 29° 05',䷝ .3
30.4,물병 29° 05' ~ 30° 02',䷝ .4
30.5,물병 30° 02' ~ 물고기 00° 58',䷝ .5
30.6,물고기 00° 58' ~ 01° 55',䷝ .6
55.1,물고기 01° 55' ~ 02° 52',䷶ .1
55.2,물고기 02° 52' ~ 03° 48',䷶ .2
55.3,물고기 03° 48' ~ 04° 45',䷶ .3
55.4,물고기 04° 45' ~ 05° 41',䷶ .4
55.5,물고기 05° 41' ~ 06° 38',䷶ .5
55.6,물고기 06° 38' ~ 07° 35',䷶ .6
37.1,물고기 07° 35' ~ 08° 32',䷤ .1
37.2,물고기 08° 32' ~ 09° 28',䷤ .2
37.3,물고기 09° 28' ~ 10° 25',䷤ .3
37.4,물고기 10° 25' ~ 11° 21',䷤ .4
37.5,물고기 11° 21' ~ 12° 18',䷤ .5
37.6,물고기 12° 18' ~ 13° 15',䷤ .6
63.1,물고기 13° 15' ~ 14° 11',䷾ .1
63.2,물고기 14° 11' ~ 15° 08',䷾ .2
63.3,물고기 15° 08' ~ 16° 05',䷾ .3
63.4,물고기 16° 05' ~ 17° 01',䷾ .4
63.5,물고기 17° 01' ~ 17° 58',䷾ .5
63.6,물고기 17° 58' ~ 18° 55',䷾ .6
22.1,물고기 18° 55' ~ 19° 51',䷕ .1
22.2,물고기 19° 51' ~ 20° 48',䷕ .2
22.3,물고기 20° 48' ~ 21° 44',䷕ .3
22.4,물고기 21° 44' ~ 22° 41',䷕ .4
22.5,물고기 22° 41' ~ 23° 37',䷕ .5
22.6,물고기 23° 37' ~ 24° 33',䷕ .6
36.1,물고기 24° 33' ~ 25° 27',䷣ .1
36.2,물고기 25° 27' ~ 26° 22',䷣ .2
36.3,물고기 26° 22' ~ 27° 16',䷣ .3
36.4,물고기 27° 16' ~ 28° 11',䷣ .4
36.5,물고기 28° 11' ~ 29° 05',䷣ .5
36.6,물고기 29° 05' ~ 30° 00',䷣ .6